run:
Naive Bayes Classifier

                  Class
Attribute             0        1
                 (0.66)   (0.34)
=================================
preg
  mean            3.4889   4.8016
  std. dev.       2.9972   3.5782
  weight sum         408      207
  precision       1.1333   1.1333

plas
  mean          109.6059 142.5497
  std. dev.      26.5565  30.9794
  weight sum         408      207
  precision       1.5076   1.5076

pres
  mean           68.3958  70.9997
  std. dev.      18.2192  21.3985
  weight sum         408      207
  precision       2.7111   2.7111

skin
  mean           19.6291   22.279
  std. dev.      14.8497  18.1006
  weight sum         408      207
  precision       2.0625   2.0625

insu
  mean           68.1392  99.6627
  std. dev.     100.2695 141.4434
  weight sum         408      207
  precision       5.0964   5.0964

mass
  mean           30.3282  35.4371
  std. dev.       7.7034   7.1621
  weight sum         408      207
  precision       0.2956   0.2956

pedi
  mean            0.4205   0.5594
  std. dev.       0.2946   0.3812
  weight sum         408      207
  precision       0.0053   0.0053

age
  mean           31.4706  36.9391
  std. dev.      11.6477  11.1537
  weight sum         408      207
  precision          1.2      1.2




0;1;;truthLabel;prediction
0,477632;0,522368;;1;1
0,990001;0,009999;;0;0
0,802002;0,197998;;0;0
0,057222;0,942778;;1;1
0,309616;0,690384;;1;1
0,957711;0,042289;;0;0
0,859335;0,140665;;1;0
0,845093;0,154907;;0;0
0,026961;0,973039;;1;1
0,372301;0,627699;;1;1
0,789741;0,210259;;1;0
0,936640;0,063360;;0;0
0,822209;0,177791;;0;0
0,986293;0,013707;;0;0
0,737555;0,262445;;0;0
0,940688;0,059312;;1;0
0,990020;0,009980;;0;0
0,961933;0,038067;;0;0
0,232254;0,767746;;1;1
0,000659;0,999341;;1;1
0,489916;0,510084;;1;1
0,943908;0,056092;;0;0
0,936001;0,063999;;0;0
0,967486;0,032514;;0;0
0,346596;0,653404;;1;1
0,957921;0,042079;;0;0
0,019136;0,980864;;0;1
0,862841;0,137159;;1;0
0,721822;0,278178;;0;0
0,983842;0,016158;;0;0
0,959016;0,040984;;0;0
0,021359;0,978641;;1;1
0,670956;0,329044;;1;0
0,785035;0,214965;;0;0
0,927984;0,072016;;0;0
0,978171;0,021829;;0;0
0,291116;0,708884;;0;1
0,322611;0,677389;;0;1
0,983709;0,016291;;0;0
0,983565;0,016435;;1;0
0,144911;0,855089;;0;1
0,185363;0,814637;;1;1
0,424929;0,575071;;0;1
0,861549;0,138451;;1;0
0,773066;0,226934;;1;0
0,032433;0,967567;;1;1
0,984541;0,015459;;0;0
0,970118;0,029882;;0;0
0,073570;0,926430;;1;1
0,000368;0,999632;;1;1
0,278798;0,721202;;1;1
0,796675;0,203325;;1;0
0,982803;0,017197;;0;0
0,757878;0,242122;;0;0
0,752157;0,247843;;1;0
0,979599;0,020401;;0;0
0,776356;0,223644;;0;0
0,205267;0,794733;;0;1
0,501753;0,498247;;0;0
0,976348;0,023652;;0;0
0,985023;0,014977;;0;0
0,035361;0,964639;;0;1
0,952340;0,047660;;1;0
0,020310;0,979690;;0;1
0,226169;0,773831;;1;1
0,307592;0,692408;;1;1
0,854999;0,145001;;0;0
0,935929;0,064071;;0;0
0,669644;0,330356;;0;0
0,983299;0,016701;;0;0
0,103136;0,896864;;0;1
0,924075;0,075925;;0;0
0,825988;0,174012;;1;0
0,803672;0,196328;;1;0
0,843337;0,156663;;0;0
0,010338;0,989662;;1;1
0,819351;0,180649;;1;0
0,826868;0,173132;;0;0
0,980623;0,019377;;0;0
0,844742;0,155258;;1;0
0,347630;0,652370;;0;1
0,977865;0,022135;;0;0
0,009990;0,990010;;1;1
0,900806;0,099194;;0;0
0,139508;0,860492;;1;1
0,206764;0,793236;;1;1
0,982301;0,017699;;0;0
0,227948;0,772052;;1;1
0,702976;0,297024;;1;0
0,604565;0,395435;;0;0
0,988704;0,011296;;0;0
0,560511;0,439489;;0;0
0,704865;0,295135;;1;0
0,398205;0,601795;;0;1
0,866301;0,133699;;0;0
0,929717;0,070283;;0;0
0,975809;0,024191;;0;0
0,527945;0,472055;;0;0
0,974632;0,025368;;0;0
0,422113;0,577887;;1;1
0,986174;0,013826;;0;0
0,996873;0,003127;;0;0
0,106278;0,893722;;1;1
0,902262;0,097738;;0;0
0,931738;0,068262;;0;0
0,925966;0,074034;;0;0
0,202874;0,797126;;1;1
0,816395;0,183605;;0;0
0,986359;0,013641;;0;0
0,994631;0,005369;;0;0
0,040096;0,959904;;1;1
0,294848;0,705152;;0;1
0,063791;0,936209;;1;1
0,995125;0,004875;;0;0
0,066888;0,933112;;1;1
0,989044;0,010956;;0;0
0,924609;0,075391;;0;0
0,989811;0,010189;;0;0
0,849968;0,150032;;0;0
0,876126;0,123874;;0;0
0,356496;0,643504;;1;1
0,221397;0,778603;;1;1
0,968946;0,031054;;0;0
0,000437;0,999563;;1;1
0,823491;0,176509;;0;0
0,917085;0,082915;;0;0
0,420700;0,579300;;1;1
0,915415;0,084585;;0;0
0,733232;0,266768;;0;0
0,947743;0,052257;;0;0
0,927609;0,072391;;1;0
0,126080;0,873920;;1;1
0,921383;0,078617;;0;0
0,634198;0,365802;;0;0
0,995770;0,004230;;0;0
0,891013;0,108987;;1;0
0,592082;0,407918;;1;0
0,896675;0,103325;;0;0
0,303944;0,696056;;1;1
0,098969;0,901031;;1;1
0,791679;0,208321;;1;0
0,741880;0,258120;;0;0
0,863583;0,136417;;0;0
0,829874;0,170126;;1;0
0,933190;0,066810;;0;0
0,689804;0,310196;;1;0
0,292813;0,707187;;1;1
0,899052;0,100948;;0;0
0,300434;0,699566;;0;1
0,708052;0,291948;;0;0
0,896431;0,103569;;1;0
0,806992;0,193008;;0;0
0,945624;0,054376;;1;0

Results
===========

Correctly Classified Instances         115               75.1634 %
Incorrectly Classified Instances        38               24.8366 %
Kappa statistic                          0.4642
Mean absolute error                      0.3012
Root mean squared error                  0.4373
Relative absolute error                 64.504  %
Root relative squared error             88.6221 %
Total Number of Instances              153     

